id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_banjir,satuan,tahun
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,16,KEJADIAN,2021
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3,KEJADIAN,2021
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,15,KEJADIAN,2021
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,9,KEJADIAN,2021
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10,KEJADIAN,2021
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KEJADIAN,2021
262,32,JAWA BARAT,3271,KOTA BOGOR,18,KEJADIAN,2021
263,32,JAWA BARAT,3272,KOTA SUKABUMI,2,KEJADIAN,2021
264,32,JAWA BARAT,3273,KOTA BANDUNG,2,KEJADIAN,2021
265,32,JAWA BARAT,3274,KOTA CIREBON,1,KEJADIAN,2021
266,32,JAWA BARAT,3275,KOTA BEKASI,14,KEJADIAN,2021
267,32,JAWA BARAT,3276,KOTA DEPOK,3,KEJADIAN,2021
268,32,JAWA BARAT,3277,KOTA CIMAHI,6,KEJADIAN,2021
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,KEJADIAN,2021
270,32,JAWA BARAT,3279,KOTA BANJAR,1,KEJADIAN,2021
